
Scan Time: 2026-03-11 17:13:31
File Scanned: data/domains/domains_cd_alive.txt

Method  Code  Server           Port  IP                Host
------  ----  ------           ----  --                ----
GET     400   cloudflare       8443  172.67.153.64     cdn.cd
GET     301   cloudflare       8080  104.21.12.203     cdn.cd
GET     301   cloudflare       80    104.21.12.203     cdn.cd
HEAD    301   cloudflare       80    172.67.153.64     cdn.cd
GET     200   cloudflare       443   172.67.153.64     cdn.cd
HEAD    400   cloudflare       8443  172.67.153.64     cdn.cd
HEAD    301   cloudflare       8080  172.67.153.64     cdn.cd
HEAD    200   cloudflare       443   172.67.153.64     cdn.cd
GET     301   Apache           80    154.72.55.17      mail.cloud.cd
GET     301   Apache           80    154.72.55.17      cloud.cd
GET     200   Apache           80    154.72.55.17      ftp.cloud.cd
GET     200   Apache           443   154.72.55.17      mail.cloud.cd
GET     200   Apache           443   154.72.55.17      cloud.cd
HEAD    301   Apache           80    154.72.55.17      cloud.cd
HEAD    200   Apache/2.4.7...  80    103.113.92.41     m.cd
GET     200   Apache           443   154.72.55.17      ftp.cloud.cd
HEAD    301   Apache           80    154.72.55.17      mail.cloud.cd
GET     200   Apache/2.4.7...  80    103.113.92.41     m.cd
HEAD    200   Apache           443   154.72.55.17      cloud.cd
HEAD    200   Apache           80    154.72.55.17      ftp.cloud.cd
HEAD    200   Apache           443   154.72.55.17      mail.cloud.cd
HEAD    200   Apache           443   154.72.55.17      ftp.cloud.cd
